,Result,Season,Team1,Team2,deltaSeed,deltaeFG,deltaPoss,deltaTO%,deltaFT%,deltaOR%,deltaAvgORtg,deltaAvgDRtg,deltaOrdinalRank
0,0,2003,1411,1421,0,0.03182073429714938,-4.3374999999999915,-0.001801397922339909,0.0749928530588907,0.18063641421557386,0.19088835533502735,0.11268750789877813,0.7333333333333485
1,1,2003,1112,1436,-15,0.05716545194177858,-3.8125,-0.11502935988613378,0.02044798768888792,0.007726423902894464,0.2160583056365456,0.17099707334291603,-161.4
2,0,2003,1272,1113,-3,-0.023539095506585395,13.024999999999991,-0.11992174131252126,-0.18257803827031438,-0.1631373131373131,-0.007497553868793805,0.03537916964111232,2.4000000000000057
3,1,2003,1141,1166,5,-0.16224112595858026,-3.174999999999983,0.09892666594245336,0.1720393075262891,0.1822254980791565,-0.21599474536582508,-0.2527367188513352,81.19999999999999
4,0,2003,1301,1143,1,-0.09506362037146965,10.725000000000009,-0.034892589385681294,0.1419478949697277,-0.06869769610808635,-0.1069060186032591,-0.05944901994242091,8.333333333333336
5,1,2003,1163,1140,-7,0.03727106227106214,7.912499999999994,-0.004492945006590893,-0.25155677655677655,0.21170668175614568,0.15038807406705623,0.09352257892742877,3.133333333333333
6,0,2003,1161,1181,11,0.15248764867156367,-6.700000000000003,-0.020836585494399595,0.25919886728314356,0.037860937860938026,0.1504352750930894,0.3351105734762527,90.13333333333333
7,0,2003,1153,1211,-1,0.15405662956767874,-3.424999999999997,-0.0434114483288513,-0.02528928145323539,-0.006257318501171005,0.23565152580060933,0.2630038718175235,-6.200000000000003
8,1,2003,1228,1443,-9,0.015138875979799737,0.07500000000000284,-0.01532209712877225,0.3065127645072342,0.16909082181259605,0.23045796192800205,0.18969546402117354,-53.733333333333334
9,1,2003,1242,1429,-13,0.11098038353272344,10.099999999999994,0.05867253392005864,-0.06646557399377989,-0.005699233716475072,-0.028167067914520505,0.014774424302333777,-78.93333333333332
10,0,2003,1221,1266,11,-0.016202851590589984,0.21250000000000568,0.02147487222688657,0.0770654270679953,-0.17877046325322188,-0.2643235298056129,0.007399054683943307,65.93333333333334
11,1,2003,1281,1356,-5,0.04787618688297807,4.337500000000006,-0.11180232798256562,-0.25528202225995095,0.023540706605222728,0.17843076388805623,0.24633945212441966,-26.933333333333337
12,0,2003,1454,1323,7,-0.019925213675213715,-8.099999999999994,0.20479874083989486,0.22447102355638943,0.019968741119636313,-0.2072206203419873,-0.28117375626488506,77.80000000000001
13,1,2003,1328,1354,-15,-0.15745791245791246,-10.774999999999991,-0.039627010540464025,-0.16734006734006732,-0.03245614035087718,-0.1992949256154254,-0.15731251741740526,-229.8
14,0,2003,1360,1390,9,-0.11657793111281484,10.599999999999994,0.028975610656380713,-0.14705178542387842,-0.04686185133239834,-0.25630855704154987,-0.09538522427564056,84.06666666666666
